"id","movie_name","movie_poster","movie_director","movie_story","movie_starring","movie_date","movie_collection","movie_source"
"11","super 30","movie_poster/sup30.jfif","Vikas Bahl","Super 30 is a 2019 Indian Hindi-language biographical film directed by Vikas Bahl, based on the life of mathematician Anand Kumar and his educational program Super 30. The film stars Hrithik Roshan and Mrunal Thakur.","Hrithik Roshan Mrunal Thakur Nandish Sandhu Virendra Saxena Pankaj Tripathi Aditya Srivastava Amit Sadh","2019-07-12","₹208.93 crore","movie_source/SUPER.30.2019.Hindi.mkv"
"12","Mohenjo Daro","movie_poster/mj.jfif","Ashutosh Gowariker","Mohenjo Daro is set in 2016 BC and showcases ancient Indian civilization in all its glory. Hrithik (Sarman) who plays the role of a simple farmer, lands himself in the town of Mohenjo Daro and is mesmerized by its beauty and grandeur.","Hrithik Roshan Pooja Hegde Kabir Bedi Manish Choudhary Arunoday Singh","2016-08-12","₹107.75 crores","False"
"13","Guzaarish","movie_poster/gz.jfif","Sanjay Leela Bhansali","Guzarish is a story of two sisters who are getting married to two brothers. Zara is the younger sister who is getting married to Zain. Zain is the younger brother who loves Zara too. And this marriage is the only thing they wanted and desired from this life because they are deeply in love with each other.","Hrithik Roshan Aishwarya Rai Aditya Roy Kapur","2010-11-19","₹30.9 crores","False"
"14","Lakshya","movie_poster/lakshya.jfif","Ritesh Sidhwani","Based on the 1999 Kargil War, the film is about Karan Sheirgill, an aimless and lazy boy from Delhi who joins the Indian Army and transforms himself into a soldier to make his girlfriend Romila Dutta proud of him.","Amitabh Bachchan Hrithik Roshan Preity Zinta Boman Irani Anjula Bedi","2004-06-18","₹ 26.25 crore","False"
"15","Mujhse Dosti Karoge!","movie_poster/Mujhse_Dosti_Karoge_Film_Poster.jpg","Kunal Kohli","Pooja, Raj, and Tina are childhood friends. While Raj has always been attracted to Tina, he is unaware of Pooja's love for him. Raj's father decides to move to London with his family for work. Before leaving, Raj makes Tina promise to communicate with him via e-mail. Tina, fun-loving and distracted, does not want the responsibility so Pooja writes to Raj, signing the emails ""Tina"" instead of her own name to help Tina keep her promise and make Raj happy. Over the years, their e-mails bring them close. Fifteen years later, Raj returns to India for a vacation. By now, he is in love with the girl he has been writing to and believes he can recognize her at first sight so they don't exchange photo","Hrithik Roshan Rani Mukerji Kareena Kapoor","2002-08-09","33.61 crores INR","movie_source/Mujhse_Dosti_Karoge2001.mp4"
"16","Kaabil","movie_poster/kbl.webp","Sanjay Gupta","The blissful lives of Supriya and Rohan, a visually impaired couple, come to a halt when the former is raped by men with political links. When she commits suicide, Rohan vows to take revenge.","Hrithik Roshan Yami Gautam Ronit Roy Rohit Roy","2017-01-25","₹155 crore","movie_source/Kaabil_2017_hindimovie001.mkv"
"17","Kabhi Khushi Kabhie Gham","movie_poster/kkkb.jfif","Karan Johar","Rahul (Shah Rukh Khan), the adoptive son of business magnate Yash Raichand (Amitabh Bachchan), feels eternal gratitude to his father for rescuing him from a life of poverty. Yet, when Yash forbids his love of poor Anjali (Kajol), Rahul marries her and moves to London with new wife and sister-in-law, Pooja (Kareena Kapoor), breaking the heart of his mother (Jaya Bachchan). Ten years later, Rahul's younger brother (Hrithik Roshan) comes to London intent on brokering peace between father and son.","Shah Rukh Khan Kajol Jaya Bachchan Amitabh Bachchan Hrithik Roshan Kareena Kapoor Rani Mukerji","2001-12-14","₹1.36 billion","False"
"18","Fiza","movie_poster/fzz.jfif","Khalid Mohamed","he film is about a girl, Fiza (Karisma Kapoor), whose brother, Amaan (Hrithik Roshan), disappears during the 1993 Bombay riots. Fiza and her mother Nishatbi (Jaya Bachchan) desperately hold on to the hope that one day he will return. However, in 1999, six years after his disappearance, Fiza, fed up of living with uncertainty, resolves to search of her brother. Driven by her mother's fervent hope and her own determination, Fiza decides to use whatever means she can—the law, media, and even politicians—to find her brother, which brings her into contact with various characters and situations.","Karisma Kapoor Hrithik Roshan Jaya Bachchan","2000-09-08","₹322 million","False"
"19","Yaadein","movie_poster/yade.jfif","Subhash Ghai","Raj Singh Puri (Jackie Shroff) is best friends with Lalit Malhotra (Anang Desai), the younger brother of J.K. Malhotra (Amrish Puri). The Malhotras are wealthy business tycoons in London. Lalit and his wife Nalini's (Supriya Karnik) business lifestyles have left little time for their son, Ronit (Hrithik Roshan), who opposes his family's greed and as a child came to regard his ""uncle"" Raj and late ""aunt"" Shalini as his surrogate parents. Raj's wife, Shalini (Rati Agnihotri), died in an accident some years prior, leaving Raj to raise their three daughters alone. Ronit has maintained close friendships with Raj and his daughters, having grown up with them.","Jackie Shroff Hrithik Roshan Kareena Kapoor Amrish Puri Kiran Rathod","2001-06-27","₹34.59 crore","movie_source/Yaaden2002.mkv"
"20","Main Prem Ki Diwani Hoon","movie_poster/mpd.jfif","Sooraj Barjatya","Sanjana (Kareena Kapoor) is a young woman, full of life. She has just graduated from college and is not happy about the concept of arranged marriage, much to the dismay of her mother Susheela (Himani Shivpuri).  Roopa -Sanjana's older sister- who has settled in the U.S., phones her parents to inform them that her friend, Prem, has seen Sanjana's picture and is interested in getting to know her. Prem is a wealthy businessman who has also settled in the U.S. with his parents. Sanjana is not pleased with this development but she eventually meets Prem Kishen (Hrithik Roshan).","Hrithik Roshan Kareena Kapoor Abhishek Bachchan","2003-06-27","36.37 cr","movie_source/Me_prem_ki_diwani_hoon_2003.mkv"
"21","Na Tum Jaano Na Hum","movie_poster/ntm.jfif","Arjun Sablok","Esha Malhotra is a bright, spirited girl who has just left college. She finds a note from a past student of her school that coincides with her own feelings of love. She calls into a radio station and requests a song, repeating the words left on the note. An anonymous man calls in soon after, stating that he is the one who had written the letter and he would like to meet her someday since they seem to have the same feelings about love and other aspects in life. The radio announcer sets up a date and time for their meeting at the radio station. The man arrives but finds only a letter waiting for him. The letter does not state her name or address, only a post box number to which she requests hi","Saif Ali Khan Hrithik Roshan Esha Deol","2002-05-10","₹19.29 cr","False"
"22","Mission Kashmir","movie_poster/mk.jfif","Vidhu Vinod Chopra","Inayat Khan is the Senior Superintendent of Police of Srinagar, Kashmir. When Inayat's young son Irfaan succumbs to his injuries he sustained from an accident following doctors' refusal to treat him in fear due to the fatwa instigated by wanted terrorist Malik Ul Khan forbidding doctors to treat policemen and their families, Inayat swears revenge against Malik. Inayat and his team manage to track down Malik and his men, but in the crossfire that ensues, a bystander couple is killed along with Malik and his men, leaving their son Altaaf as the sole survivor. Inayat's wife Neelima still grieving from the loss of her son and wrongly blaming herself for his death despite her husband's faith in h","Sanjay Dutt Hrithik Roshan Preity Zinta Sonali Kulkarni Jackie Shroff","2000-10-27","₹433 million","movie_source/Mission_Kashmir_2000.mp4"
"23","Jodhaa Akbar","movie_poster/Jodhaa_akbar.jpg","Ashutosh Gowariker","An underage future ruler of the Mughal empire is taught by Bairam Khan to rule mercilessly, killing defeated opponents after a battle. Years later, after another battle, the now adult Akbar (Hrithik Roshan) defies Bairam Khan for the first time, deciding that mercy, respect and diplomacy will be his way of gaining influence.  Jodhaa (Aishwarya Rai Bachchan), the daughter of Raja Bharmal (Kulbhushan Kharbanda) of Amer, is betrothed to Rajkumar Ratan Singh of Ajabgarh. Raja Bharmal announces that his son Bhagwant Das would be his heir and Sujamal (Sonu Sood), Jodhaa's cousin, whom she wants to be the king's heir instead of Bhagwant Das, will have to work under him. Sujamal, who is deprived of","Hrithik Roshan Aishwarya Rai Sonu Sood","2008-02-15","₹1.2 billion","movie_source/Jodha_Akbar2008_Hrithik_Roshan.mkv"
"24","Aap Mujhe Achche Lagne Lage","movie_poster/am.jpg","Vikram Bhatt","Sapna is the only daughter of a wealthy underworld Don, Pratap Dholakia. She lives in terror of her father and brother Raman's tyranny, violence, and dangerous gang associations. Due to their numerous enemies, they have kept Sapna confined at home all her life with only her sister-in-law, Nisha, for company and comfort. Highly sheltered, naïve, and lonely, Sapna longs to break free.  One night Sapna attends her childhood friend's wedding without Pratap's permission, and on the drive home is attacked by Pratap's rival gang. Rohit, a local college student, witnesses the attack and protects Sapna. They immediately fall in love with each other, but before they can introduce themselves she is res","Hrithik Roshan Ameesha Patel","2002-04-19","2.027 crore","movie_source/AAP_MUJHE_ACHCHE_LAGNE_LAGE.mp4"
"25","Luck by Chance","movie_poster/lb.jpg","Zoya Akhtar","Young actor Vikram Jaisingh (Farhan Akhtar) arrives in Mumbai to make it as a Bollywood film star with the help of Abhimanyu (Arjun Mathur), an actor friend from his hometown, and their mutual friend Sameer, who works in a studio props department.  Vikram befriends Abhimanyu's neighbor, young actress Sona Mishra (Konkona Sen Sharma), with whom he eventually becomes romantically involved. Sona, the protégé of small-time producer Satish Chowdhury (Alyy Khan), who for three years has promised her a leading role in his dream project, meanwhile works in regional films and bit parts.","Farhan Akhtar Konkana Sen Sharma Rishi Kapoor Juhi Chawla Dimple Kapadia Hrithik Roshan Isha Sharvani Sanjay Kapoor Alyy Khan Sheeba Chaddha Saif Ali Khan","2009-01-30","₹ 29 crore","False"
"26","Vikram Vedha","movie_poster/Vikram_Vedha_2022_poster.jpg","Pushkar–Gayathri","SSP Vikram is an honest police officer, who has a black-and-white sense of good and evil. Vedha is a dreaded gangster from Kanpur who understands the nuance in between. Vikram's best friend SSP Abbas leads an encounter unit in the STF, which is formed to eliminate Vedha. In one encounter, the squad kills some of Vedha's henchmen, framing an unarmed criminal killed by Vikram to avoid further inquiry. As the unit plans another encounter, Vedha enters the police station and voluntarily surrenders. When Vikram interrogates Vedha, he offers to narrate a story to him. The first act relates about Vedha becoming a dreaded gangster, who warns his younger brother Shatak, who is a mathematical genius,","Saif Ali Khan Hrithik Roshan Radhika Apte Rohit Saraf Yogita Bihani","2022-09-30","₹135.03 crore","movie_source/Vikram_Vedha_2022_Bollywood_Hindi_Full_Movie_HD_1080p.mkv"
"27","Fighter","movie_poster/Fighter_.jpg","Siddharth Anand","Directed by Siddharth Anand, Fighter tells the tale of a deadly mission undertaken by the Indian Air Force soldiers to protect the integrity of their nation and save it from the wrath of a madman whose sole agenda was to bring the nation to its knees. Shamsher Pathania, aka Patty, was known for his impulsive nature, which landed him in trouble many times in the past. He had a team of able fighters, and he respected them all, but he also knew that he was the best man for the job, and he often found it better to follow his instincts rather than protocol. So, let’s find out what happened in the film and if the Indian soldiers were able to save the day.","Hrithik Roshan Deepika Padukone Anil Kapoor","2024-01-25","₹337.2 crore","not available"
